,0,1,2,3,4
0,https://blog.csdn.net/nima1994/article/details/83111923,如何获取手机浏览器中自动填充的账号密码等信息,2018-10-18 17:00:39,10,0
1,https://blog.csdn.net/nima1994/article/details/83148087,遥感分类的一种采样方法,2018-10-18 15:56:26,17,0
2,https://blog.csdn.net/nima1994/article/details/83060138,jupyter每行变量值显示,2018-10-16 19:45:56,13,0
3,https://blog.csdn.net/nima1994/article/details/83001910,pytorch中查看gpu信息,2018-10-11 22:07:14,56,0
4,https://blog.csdn.net/nima1994/article/details/83009146,pytorch模型可视化2：tensorboardX,2018-10-11 22:07:03,13,0
5,https://blog.csdn.net/nima1994/article/details/83008349,pytorch模型可视化：pytorchviz,2018-10-11 22:06:52,17,0
6,https://blog.csdn.net/nima1994/article/details/82343968,常用机器学习遥感与其他数据集,2018-09-27 12:07:17,58,0
7,https://blog.csdn.net/nima1994/article/details/82863954,kaggle: Plant Seedlings Classification 植物幼苗分类,2018-09-27 12:05:49,46,0
8,https://blog.csdn.net/nima1994/article/details/82864178,kaggle: Dogs vs. Cats 猫狗分类,2018-09-27 12:05:07,39,0
9,https://blog.csdn.net/nima1994/article/details/82844988,读取tensorboard日志数据,2018-09-26 16:50:24,29,0
10,https://blog.csdn.net/nima1994/article/details/82807202,pyecharts居中自适应,2018-09-21 20:39:08,55,0
11,https://blog.csdn.net/nima1994/article/details/82783546,天池：铝型材表面瑕疵识别笔记,2018-09-20 11:10:44,1377,20
12,https://blog.csdn.net/nima1994/article/details/82686092,天池：零样本目标识别新手笔记2,2018-09-13 17:41:26,455,0
13,https://blog.csdn.net/nima1994/article/details/82686132,ResNet50网络结构,2018-09-13 12:25:35,158,0
14,https://blog.csdn.net/nima1994/article/details/82656412,天池零样本：禁止使用外部图片数据/预训练模型进行竞赛的原因,2018-09-12 09:40:14,77,0
15,https://blog.csdn.net/nima1994/article/details/82468965,keras中的keras.utils.to_categorical方法,2018-09-06 21:56:16,1220,0
16,https://blog.csdn.net/nima1994/article/details/82420637,天池：零样本目标识别新手笔记,2018-09-05 15:54:19,1145,0
17,https://blog.csdn.net/nima1994/article/details/82313284,多光谱遥感分类：使用GLCM+RF,2018-09-02 10:29:05,42,0
18,https://blog.csdn.net/nima1994/article/details/82313199,多光谱遥感分类：使用CNN1（三）,2018-09-02 10:28:36,58,0
19,https://blog.csdn.net/nima1994/article/details/82313147,多光谱遥感分类：使用CNN1（二）,2018-09-02 10:27:35,59,0
20,https://blog.csdn.net/nima1994/article/details/82313076,多光谱遥感分类：使用CNN1（一）,2018-09-02 10:25:55,124,0
21,https://blog.csdn.net/nima1994/article/details/81178832,获取（大）文件md5,2018-09-02 10:15:12,32,0
22,https://blog.csdn.net/nima1994/article/details/81871124,python gdal捕获出错信息ERROR,2018-08-23 15:11:12,29,0
23,https://blog.csdn.net/nima1994/article/details/81872750,python gdal离线文档,2018-08-23 15:10:07,28,0
24,https://blog.csdn.net/nima1994/article/details/81605651,TypeError: Object of type 'ndarray' is not JSON serializabl；TypeError: Object of type 'int64' is not,2018-08-12 13:08:14,289,0
25,https://blog.csdn.net/nima1994/article/details/81603274,selenium chromedriver：您使用的是不受支持的命令行标记...,2018-08-12 08:41:15,171,0
26,https://blog.csdn.net/nima1994/article/details/81182320,python复制时不覆盖重命名,2018-07-27 12:26:41,137,0
27,https://blog.csdn.net/nima1994/article/details/81221450,python r不转义变量,2018-07-27 12:17:57,472,0
28,https://blog.csdn.net/nima1994/article/details/81135158,提取灰度共生矩阵（GLCM）纹理特征,2018-07-22 21:00:30,232,0
29,https://blog.csdn.net/nima1994/article/details/81106902,"pyqt5打包成exe 及  ...because it could not find or load the Qt platform plugin ""windows""...问题解决",2018-07-18 23:02:59,206,0
30,https://blog.csdn.net/nima1994/article/details/81008653,TypeError: Layout of the output array image is incompatible with cv::Mat (step[ndims-1] != elemsiz,2018-07-11 23:37:12,690,0
31,https://blog.csdn.net/nima1994/article/details/80996181,sklearn保存模型,2018-07-11 10:18:26,54,0
32,https://blog.csdn.net/nima1994/article/details/80965059,多光谱遥感分类：基于遍历的结果制图,2018-07-09 09:10:09,46,0
33,https://blog.csdn.net/nima1994/article/details/80958106,vmware ubuntu搭建（两个节点）MPI并行环境,2018-07-08 11:53:10,68,0
34,https://blog.csdn.net/nima1994/article/details/80954919,删除代码中的空行,2018-07-07 21:28:44,308,0
35,https://blog.csdn.net/nima1994/article/details/80939287,vmware ubuntu配置静态IP,2018-07-06 12:53:00,63,0
36,https://blog.csdn.net/nima1994/article/details/80930358,linux（centos7）用户重命名,2018-07-05 17:22:50,236,0
37,https://blog.csdn.net/nima1994/article/details/80781943,CNN是如何处理彩色（多波段）图像的,2018-07-01 21:46:33,203,0
38,https://blog.csdn.net/nima1994/article/details/80695114,python：超像素SLIC算法使用,2018-07-01 21:45:33,290,0
39,https://blog.csdn.net/nima1994/article/details/80803746,office使用latex公式,2018-06-25 16:25:32,283,0
40,https://blog.csdn.net/nima1994/article/details/80762517,latex beamer幻灯片生成参考文献列表及参考文献图标,2018-06-21 16:32:20,500,0
41,https://blog.csdn.net/nima1994/article/details/80744545,latex beamer幻灯片添加参考文献,2018-06-20 12:47:19,834,0
42,https://blog.csdn.net/nima1994/article/details/80731397,flask的自定义bootstrap模板,2018-06-19 11:17:06,163,0
43,https://blog.csdn.net/nima1994/article/details/80718237,numpy的tile函数,2018-06-17 13:43:12,29,0
44,https://blog.csdn.net/nima1994/article/details/80718124,python的赋值、浅拷贝和深拷贝,2018-06-17 13:18:47,36,0
45,https://blog.csdn.net/nima1994/article/details/80625938,keras：ImageDataGenerator的flow方法,2018-06-14 19:12:13,453,0
46,https://blog.csdn.net/nima1994/article/details/80626239,keras：ImageDataGenerator的flow_from_directory方法,2018-06-14 19:12:04,1187,0
47,https://blog.csdn.net/nima1994/article/details/80627504,keras：fit_generator的训练过程,2018-06-14 19:11:52,1727,0
48,https://blog.csdn.net/nima1994/article/details/80613588,keras中application模型可视化,2018-06-14 19:02:46,118,0
